"Identifier","IsDeleted","EssayAnswerID","MatchingAnswerID","MultipleAnswerAnswerID","MultipleChoiceAnswerID","TrueOrFalseAnswerID","ExamTakenID","QuestionID","Grade","Answer","IsCorrect","AuditCreatedDate","AuditLastUpdatedDate"
"MULTCHOICE","False",,,,"801575",,"415919","2446",,"O objetivo está em prestar esclarecimentos imediatos à referida equipe, sobre seus produtos e serviços e deve atender também às demandas dos seus clientes e usuários ao contratado.","1","01/02/2024 15:41:17","01/02/2024 15:41:17"
"MULTCHOICE","False",,,,"801576",,"415919","2448",,"De relacionamento, de sensibilidade e do negócio.","1","01/02/2024 15:44:57","01/02/2024 15:44:57"
"MULTCHOICE","False",,,,"801577",,"415919","2424",,"FMI.","1","01/02/2024 15:51:13","01/02/2024 15:51:13"
"MULTCHOICE","False",,,,"801578",,"415919","2428",,"De todos os riscos, com moderação, para tentar não perder o negócio.","0","01/02/2024 15:52:35","01/02/2024 15:52:35"
"MULTCHOICE","False",,,,"801637",,"415918","2070",,"Desfrutar do bem gratuitamente até o fim de sua vida útil.","0","01/02/2024 09:23:07","01/02/2024 09:23:07"
"MULTCHOICE","False",,,,"801638",,"415918","2043",,"Ter a opção de comprar o bem por um valor previamente estabelecido ao final do contrato.","1","01/02/2024 09:25:32","01/02/2024 09:25:32"
"MULTCHOICE","False",,,,"801639",,"416019","2335",,"Os titulares de benefícios de aposentadoria e pensão por morte pagos pelo INSS.","1","01/02/2024 12:15:04","01/02/2024 12:15:04"
"MULTCHOICE","False",,,,"801640",,"416019","2342",,"Distinguir fatos de opiniões, pessoais ou de mercado, com relação aos produtos e serviços oferecidos aos clientes.","1","01/02/2024 12:29:56","01/02/2024 12:30:09"
"MULTCHOICE","False",,,,"801641",,"416019","2333",,"Do valor total financiado e a taxa mensal e anual de juros.","1","01/02/2024 12:30:47","01/02/2024 12:32:08"
"MULTCHOICE","False",,,,"801642",,"416019","2323",,"FMI.","1","01/02/2024 12:46:22","01/02/2024 12:46:22"
"MULTCHOICE","False",,,,"801643",,"416019","2355",,"Encaminhar as reclamações recebidas às respectivas agências de atendimento habitual competente, após prestar esclarecimentos.","0","01/02/2024 12:54:49","01/02/2024 12:54:49"
"MULTCHOICE","False",,,,"801644",,"416019","2329",,"O fornecedor deverá informar em 5 dias úteis a todos os bancos de dados para a retirada da negativação em nome do consumidor.","1","01/02/2024 12:58:40","01/02/2024 12:59:06"
"MULTCHOICE","False",,,,"801645",,"416019","2354",,"De relacionamento, de sensibilidade e do negócio.","1","01/02/2024 13:00:49","01/02/2024 13:00:49"
"MULTCHOICE","False",,,,"801646",,"416019","2324",,"Tarifa.","1","01/02/2024 13:04:46","01/02/2024 13:04:46"
"MULTCHOICE","False",,,,"801647",,"416120","2425",,"Tarifa.","1","01/02/2024 13:57:59","01/02/2024 13:57:59"
"MULTCHOICE","False",,,,"801648",,"416120","2436",,"Rotativas (exemplo : cheque especial) e pontuais (parcelas e prazo fixo).","1","01/02/2024 14:01:24","01/02/2024 14:01:24"
"MULTCHOICE","False",,,,"801649",,"416120","2452",,"Da tabela de juros e prazos a ser empregada nas operações de crédito direto ao consumidor e de arrendamento mercantil financeiro.","0","01/02/2024 14:10:37","01/02/2024 14:10:37"
"MULTCHOICE","False",,,,"801650",,"416120","2435",,"Não é necessário ser cliente da instituição, mas ter cadastro aprovado.","1","01/02/2024 14:11:13","01/02/2024 14:11:13"
"MULTCHOICE","False",,,,"801651",,"416120","2432",,"As signatárias devem manter, na sua publicidade de produtos de crédito, mensagem que oriente o consumidor ao uso irresponsável do crédito.","0","01/02/2024 14:12:17","01/02/2024 14:12:17"
"MULTCHOICE","False",,,,"801652",,"416120","2440",,"Realizar penhor de bens pessoais e recolher o FGTS.","1","01/02/2024 14:12:30","01/02/2024 14:12:30"
"MULTCHOICE","False",,,,"801653",,"415919","2454",,"Em local visível, apenas para colaboradores, no recinto das dependências das instituições e de seus correspondentes.","0","01/02/2024 14:58:25","01/02/2024 15:07:54"
"MULTCHOICE","False",,,,"801654",,"416121","2021",,"Tarifa.","1","01/02/2024 15:16:26","01/02/2024 15:16:26"
"MULTCHOICE","False",,,,"801655",,"416121","2050",,"Cinco dias úteis.","1","01/02/2024 15:16:57","01/02/2024 15:17:52"
"MULTCHOICE","False",,,,"801656",,"415919","2456",,"Um sistema de informações que alimenta as áreas de tecnologia e informática de uma companhia.","0","01/02/2024 15:39:21","01/02/2024 15:39:21"
"MULTCHOICE","False",,,,"801657",,"415919","2433",,"Legalidade; Moralidade; Comunicação ineficiente.","0","01/02/2024 15:46:11","01/02/2024 15:46:41"
"MULTCHOICE","False",,,,"801738",,"416221","14552",,"Gestão baseada em [i]cluster[/i], definição de régua por [i]cluster[/i], definição dos canais de cobrança.","1","02/02/2024 10:13:39","02/02/2024 10:13:39"
"MULTCHOICE","False",,,,"801739",,"416221","14445",,"Planejamento, produto, análise, concessão, manutenção, liquidação, cobrança.","1","02/02/2024 10:14:41","02/02/2024 10:14:41"
"MULTCHOICE","False",,,,"801740",,"416322","2358",,"FMI.","1","02/02/2024 15:42:17","02/02/2024 15:42:17"
"MULTCHOICE","False",,,,"801741",,"416322","2363",,"Efetuada total ou parcialmente, acarreta obrigatoriamente a redução proporcional dos juros e demais acréscimos.","1","02/02/2024 15:58:06","02/02/2024 15:58:06"
"MULTCHOICE","False",,,,"801742",,"416222","2042",,"Solicitar que a empresa de arrendamento mercantil assuma todas as despesas com o seguro do bem.","1","02/02/2024 16:07:01","02/02/2024 16:07:01"
"MULTCHOICE","False",,,,"801743",,"416222","2024",,"As entradas e saídas de valores (dinheiro) efetivadas no decorrer do tempo numa dada operação.","1","02/02/2024 16:08:25","02/02/2024 16:08:25"
"MULTCHOICE","False",,,,"801744",,"416222","2064",,"É dever informar mensalmente o Banco Central do Brasil sobre as reclamações recebidas.","0","02/02/2024 16:09:09","02/02/2024 16:09:09"
"MULTCHOICE","False",,,,"801745",,"416322","2382",,"Houver processo administrativo instaurado e tais exames sejam considerados indispensáveis pela autoridade administrativa competente.","1","02/02/2024 16:13:04","02/02/2024 16:13:04"
"MULTCHOICE","False",,,,"801746",,"416322","2361",,"Risco.","1","02/02/2024 16:13:38","02/02/2024 16:13:38"
"MULTCHOICE","False",,,,"801747",,"416322","2381",,"A inclusão de cláusula estipulando que o contratante será previamente informado da elevação respectiva, por meio do veículo de comunicação previsto contratualmente.","1","02/02/2024 16:16:05","02/02/2024 16:16:05"
"MULTCHOICE","False",,,,"801748",,"416222","2035",,"Rotativas (exemplo   :   cheque especial) e pontuais (parcelas e prazo fixo).","1","02/02/2024 16:17:49","02/02/2024 16:17:49"
"MULTCHOICE","False",,,,"801749",,"416322","2364",,"O fornecedor deverá informar em 10 dias úteis a todos os bancos de dados para a retirada da negativação em nome do consumidor.","0","02/02/2024 16:18:44","02/02/2024 16:18:44"
"MULTCHOICE","False",,,,"801750",,"416323","2040",,"Os titulares de benefícios de aposentadoria e pensão por morte pagos pelo INSS.","1","02/02/2024 16:23:05","02/02/2024 16:23:05"
"MULTCHOICE","False",,,,"801751",,"416323","2028",,"O fornecedor deverá informar em 5 dias úteis a todos os bancos de dados para a retirada da negativação em nome do consumidor.","1","02/02/2024 16:24:03","02/02/2024 16:24:03"
"MULTCHOICE","False",,,,"801752",,"416222","2028",,"O fornecedor deverá informar em 5 dias úteis a todos os bancos de dados para a retirada da negativação em nome do consumidor.","1","02/02/2024 16:31:21","02/02/2024 16:31:21"
"MULTCHOICE","False",,,,"801753",,"416423","2365",,"O Programa de autorregulação de crédito responsável estabelece diretrizes e procedimentos a serem observados nas etapas de oferta e contratação de crédito e tratamento dos superendividados.","1","02/02/2024 16:31:24","02/02/2024 16:31:58"
"MULTCHOICE","False",,,,"801754",,"416222","2032",,"Integridade, equidade, respeito ao consumidor, transparência, excelência, sustentabilidade e confiança.","1","02/02/2024 16:31:46","02/02/2024 16:31:46"
"MULTCHOICE","False",,,,"801755",,"416424","2020",,"FMI.","1","02/02/2024 16:32:12","02/02/2024 16:32:12"
"MULTCHOICE","False",,,,"801756",,"416424","2033",,"Usar crachá de identificação visível ao cliente, ser ético e apresentar os planos oferecidos por todas as instituições para o cliente ter a opção de escolha.","1","02/02/2024 16:33:17","02/02/2024 16:33:17"
"MULTCHOICE","False",,,,"801757",,"416423","2362",,"De todos os riscos, de modo detalhado, ainda que venha a perder o negócio.","1","02/02/2024 16:33:55","02/02/2024 16:33:55"
"MULTCHOICE","False",,,,"801758",,"416424","2051",,"Encaminhar resposta conclusiva para a demanda dos reclamantes, após dar adequado tratamento às reclamações recebidas.","1","02/02/2024 16:34:40","02/02/2024 16:34:40"
"MULTCHOICE","False",,,,"801759",,"416423","2369",,"Exercer opção de compra do bem pelo valor estabelecido.","0","02/02/2024 16:34:40","02/02/2024 16:34:40"
"MULTCHOICE","False",,,,"801760",,"416222","2048",,"Menor será o seu valor presente.","1","02/02/2024 16:34:57","02/02/2024 16:34:57"
"MULTCHOICE","False",,,,"801761",,"416423","2381",,"A inclusão de cláusula estipulando que o contratante será previamente informado da elevação respectiva, por meio do veículo de comunicação previsto contratualmente.","1","02/02/2024 16:35:19","02/02/2024 16:35:19"
"MULTCHOICE","False",,,,"801762",,"416323","2030",,"O primeiro requisito do atendimento é o conhecimento, pois possibilita segurança ao tratar com o cliente.","1","02/02/2024 16:35:50","02/02/2024 16:35:50"
