"CampaignRepositoryContentID","IsDeleted","CampaignContentID","RepositoryContentName","Size","IsTrash","FullPath","CampaignContentTypeID","CampaignContentTypeIdentifier","AuditCreatedDate","AuditLastUpdatedDate"
"2020","False","2020","Teste de avaliação de reação - 12/abr","0","False","/Talent/AMIL UHG/Documentos de teste","2021","ReactionSurvey::ReactionSurveyContent","12/04/2017 12:06:25","12/04/2017 12:06:25"
"2121","False","2121","Termo de responsabilidade","0","False","/","2021","ReactionSurvey::ReactionSurveyContent","06/12/2017 17:35:56","06/12/2017 17:35:56"
"2222","False","2222","Avaliação de Reação","0","False","/EDUCACAO CORPORATIVA/EDUCACAO CORPORATIVA AMIL /Academia da Saude Amil/Atividades","2021","ReactionSurvey::ReactionSurveyContent","20/04/2018 11:33:54","28/11/2019 15:02:57"
"2323","False","2323","Pesquisa de Satisfação","0","False","/Talent/AMIL UHG/RCP","2021","ReactionSurvey::ReactionSurveyContent","25/06/2018 14:02:30","25/06/2018 14:02:30"
"2424","False","2424","Avaliação de reação","0","False","/Talent/AMIL UHG/Scorms/SBV","2021","ReactionSurvey::ReactionSurveyContent","22/08/2018 10:04:02","22/08/2018 10:12:14"
"2525","False","2525","Enquete","0","False","/Talent/NPS/1. Introduction to the Net Prom/Enquete","2021","ReactionSurvey::ReactionSurveyContent","19/09/2018 20:20:42","26/10/2018 14:11:37"
"2626","False","2626","Feedback","0","False","/Talent/NPS/1. Introduction to the Net Prom","2021","ReactionSurvey::ReactionSurveyContent","21/09/2018 09:57:12","21/09/2018 09:57:12"
"2727","False","2727","Teste","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","31/10/2018 17:37:53","31/10/2018 17:37:53"
"2828","False","2828","Teste","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","31/10/2018 17:37:56","31/10/2018 17:37:56"
"2929","False","2020","Teste 1","0","False","/","2020","Video::WebMeetingContent","01/11/2018 09:56:04","13/08/2019 19:54:12"
"3030","False","2929","Teste","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","22/11/2018 16:27:40","22/11/2018 16:27:40"
"3131","False","3030","Avaliação de Reação - Treinamentos Presenciais","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","19/12/2018 17:13:15","20/11/2020 13:35:59"
"3232","False","3131","Avaliação de reação EAD ","0","False","/EDUCACAO AMERICAS","2021","ReactionSurvey::ReactionSurveyContent","09/01/2019 08:37:02","11/01/2023 16:22:43"
"3333","False","3232","Avaliação de reação  - Treinamento Presencial","0","False","/CARE DELIVERY/DIRAT/AVALIACAO DE REACAO","2021","ReactionSurvey::ReactionSurveyContent","25/01/2019 14:43:35","25/01/2019 14:43:59"
"3334","False","3233","Avaliação de reação - Facilitadores 2","0","False","/CARE DELIVERY/DIRAT/AVALIACAO DE REACAO","2021","ReactionSurvey::ReactionSurveyContent","25/01/2019 16:12:37","31/01/2019 18:14:35"
"3434","False","3333","Avaliação Treinamento Reciclagem de Processos - 10/jan","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","31/01/2019 18:07:04","31/01/2019 18:06:54"
"3535","False","3434","Avaliação de Reação - Treinamentos Presenciais","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","01/02/2019 08:45:36","01/02/2019 08:46:13"
"3636","False","3535","Deixe sua opinião","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","04/02/2019 13:05:35","30/07/2021 11:01:42"
"3737","False","3636","Avaliação de Reação - Treinamentos Presenciais","0","False","/home/p/r/priscila_santos","2021","ReactionSurvey::ReactionSurveyContent","07/02/2019 11:11:33","07/02/2019 11:11:33"
"3738","False","3637","Dê o seu feedback","0","False","/Talent/NPS/3. Customer Feedback  NPS Surv","2021","ReactionSurvey::ReactionSurveyContent","07/02/2019 22:04:39","07/02/2019 22:04:39"
"3838","False","2121","teste","0","False","/Talent/AMIL UHG","2020","Video::WebMeetingContent","28/02/2019 11:15:01","10/09/2019 15:26:02"
"3939","False","3737","Avalia ","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","12/03/2019 10:29:03","12/03/2019 10:29:03"
"3940","False","3738","Avalia ","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","12/03/2019 10:29:06","12/03/2019 10:29:06"
"4040","False","3838","Atividade de Treinamento - Avaliação de Reação Qualidade e-learning","0","False","/CARE DELIVERY/DIRAT/AVALIACAO DE REACAO","2021","ReactionSurvey::ReactionSurveyContent","13/03/2019 18:41:57","13/03/2019 18:41:57"
"4141","False","3939","Avaliação de reação","0","False","/Talent/Programa Unificar/Capital Humano","2021","ReactionSurvey::ReactionSurveyContent","22/03/2019 10:39:38","22/03/2019 10:39:38"
"4242","False","4040","Avaliação de reação","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","22/03/2019 10:53:36","25/03/2019 13:58:56"
"4343","False","4141","Avaliação de Reação.","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","29/03/2019 08:29:23","22/04/2019 16:36:04"
"4444","False","4242","Avaliação de Reação 2021","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore ","2021","ReactionSurvey::ReactionSurveyContent","29/03/2019 12:23:46","20/01/2022 20:06:20"
"4545","False","4343","Avaliação de Reação - Treinamentos Virtuais (certificado) 01/09","0","False","/Performance de Valor/OPERACOES - Portal do Conhecimento/Modelo de Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","02/04/2019 15:53:18","01/09/2020 14:48:54"
"4646","False","4444","Formulário de solicitação de Curso Externo","0","False","/EDUCACAO CORPORATIVA/AMIL GNEC","2021","ReactionSurvey::ReactionSurveyContent","07/04/2019 11:22:10","26/07/2019 08:05:21"
"4747","False","2222","Webinar - Teste Treinamento","0","True","/","2020","Video::WebMeetingContent","08/04/2019 15:28:10","02/08/2019 14:33:48"
"4848","False","4545","Avaliação de Reação.","0","False","/Talent/Programa Unificar","2021","ReactionSurvey::ReactionSurveyContent","15/04/2019 17:42:13","02/07/2019 10:45:41"
"4949","False","4646","Avaliação_de_Reação_HospitalPaulistano_05.04","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","23/04/2019 13:22:48","23/04/2019 13:22:48"
"5050","False","4747","Formulário de dúvidas não abordadas","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER","2021","ReactionSurvey::ReactionSurveyContent","26/04/2019 18:38:57","26/04/2019 18:38:57"
"5151","False","4848","THC003","0","False","/","2021","ReactionSurvey::ReactionSurveyContent","29/04/2019 09:29:25","29/04/2019 09:29:25"
"5252","False","4949","Mapeamento - Treinamentos para as Agências","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER","2021","ReactionSurvey::ReactionSurveyContent","02/05/2019 17:38:34","09/05/2019 16:47:37"
"5353","False","5050","Avaliação De Reação - 2019","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","03/05/2019 12:20:45","03/05/2019 12:20:45"
"5454","False","5151","teste lucas","0","False","/CARE DELIVERY/SISAGENDA","2021","ReactionSurvey::ReactionSurveyContent","07/05/2019 15:06:37","07/05/2019 15:06:37"
"5555","False","5252","HIST_AVGA735","0","False","/EDUCACAO CORPORATIVA/AMIL GNEC/Atividades Presenciais","2021","ReactionSurvey::ReactionSurveyContent","14/05/2019 07:35:03","14/05/2019 07:35:03"
"5656","False","2323","Webinar - Curitiba","0","True","/","2020","Video::WebMeetingContent","15/05/2019 10:03:15","15/05/2019 10:03:27"
"5757","False","5353","Avaliação de Reação Treinamento Virtual EAD - 2019","0","False","/CALL CENTER/Nova Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","17/05/2019 10:24:37","26/05/2020 15:20:45"
"5858","False","2424","teste academia","0","False","/EDUCACAO CORPORATIVA/QUALITY","2020","Video::WebMeetingContent","27/05/2019 16:45:55","27/05/2019 16:45:55"
"5959","False","5454","Avaliação de Reação - Rede - F.E.","0","False","/EDUCACAO CORPORATIVA/EDUCACAO CORPORATIVA AMIL /Academia da Saude Amil/Atividades","2021","ReactionSurvey::ReactionSurveyContent","30/05/2019 11:46:43","03/06/2019 13:58:22"
"6060","False","5555","Avaliação de Reação  teste","0","False","/Talent/Programa Unificar","2021","ReactionSurvey::ReactionSurveyContent","04/06/2019 09:35:09","02/07/2019 10:45:06"
"6161","False","5656","Avaliação de Reação - Treinamentos Virtuais EAD 01/09","0","False","/Performance de Valor/OPERACOES - Portal do Conhecimento/Modelo de Avaliacao de Reacao","2021","ReactionSurvey::ReactionSurveyContent","05/06/2019 08:29:56","01/09/2020 14:02:26"
"6262","False","2525","Teste lucas","0","False","/EDUCACAO CORPORATIVA/QUALITY","2020","Video::WebMeetingContent","06/06/2019 17:54:10","06/06/2019 17:54:46"
"6263","False","2526","Videoconferência Teste Jefferson","0","False","/EDUCACAO CORPORATIVA/QUALITY","2020","Video::WebMeetingContent","06/06/2019 17:54:44","06/06/2019 17:54:44"
"6363","False","2626","Rotinas Gerais - Duvidas","0","False","/home/p/e/pedro_marques_1","2020","Video::WebMeetingContent","07/06/2019 18:10:36","07/06/2019 18:10:39"
"6464","False","5757","PCQ - Avaliação de Reação","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/PCQ","2021","ReactionSurvey::ReactionSurveyContent","10/06/2019 18:20:09","10/06/2019 18:26:15"
"6565","False","2727","Teste Webinar Curitiba ","0","True","/","2020","Video::WebMeetingContent","27/06/2019 17:15:58","27/06/2019 17:20:14"
"6666","False","2828","Teste Webinar Curitiba 3","0","True","/","2020","Video::WebMeetingContent","03/07/2019 15:04:59","17/07/2019 16:23:58"
